year,gender_relfreq
2000,5.585101854321926
2001,5.625359729808976
2002,5.5192604841551685
2003,5.338165800671414
2004,5.052565424244596
2005,4.949114735814861
2006,4.8224293356815995
2007,4.579964908253119
2008,4.449362988555388
2009,4.631702821199088
2010,4.864626178541348
2011,4.904750771909741
2012,5.10283939886828
2013,4.961402168328701
2014,5.021283882963108
2015,4.851224428003878
2016,4.856068890920716
2017,4.824341226420714
2018,4.788289754121189
2019,4.850770978406492
2020,4.789897893346169
2021,4.79538464498432
2022,4.830515763684843
2023,4.806709055282296
2024,4.62081251404299
2025,4.518808564573808
